stringcode,description,en,pt_BR,zh_CN,zh_TW,nl,eo,fi,fr,de,id,it,ja,ko,pl,ru,sr,sr_Latn,es,th,tr,uk,vi
card_view_upgraded,카드 강화 토글,View Upgraded,Ver Melhorado,查看强化,查看強化,Verbetering Bekijken,Vidi Plibonigitan,Näytä Parannettu,Voir Amélioré,Verbessert Ansehen,Lihat Ditingkatkan,Vedi Potenziato,強化版を見る,강화 보기,View Upgraded,View Upgraded,View Upgraded,View Upgraded,View Upgraded,View Upgraded,View Upgraded,View Upgraded,View Upgraded
rest_heal,휴식처 - 휴식 옵션,Rest,Descansar,休息,休息,Rusten,Ripozi,Lepo,Se Reposer,Ausruhen,Beristirahat,Riposati,休憩,휴식,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest,Rest
rest_upgrade,휴식처 - 카드 강화 옵션,Upgrade,Melhorar,强化,強化,Verbeteren,Plibonigi,Paranna,Améliorer,Verbessern,Tingkatkan,Migliora,強化,강화,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade,Upgrade
rest_remove,휴식처 - 카드 제거 옵션,Remove,Remover,移除,移除,Verwijderen,Forigi,Poista,Supprimer,Entfernen,Hapus,Rimuovi,削除,제거,Remove,Remove,Remove,Remove,Remove,Remove,Remove,Remove,Remove
rest_excavate,휴식처 - 유물 발굴 옵션,Excavate,Escavar,挖掘,挖掘,Graven,Elfosi,Kaivaa,Fouiller,Ausgraben,Gali,Scava,発掘,발굴,Excavate,Excavate,Excavate,Excavate,Excavate,Excavate,Excavate,Excavate,Excavate
upgrade_cardselect,휴식처 - 강화 선택 제목,Select Card to Upgrade,Selecionar Carta,选择强化卡,選擇強化牌,Kaart Selecteren,Elekti Karton,Valitse Kortti,Choisir une Carte,Karte Auswählen,Pilih Kartu,Seleziona Carta,カードを選んでください,강화할 카드 선택,Select Card to Upgrade,Select Card to Upgrade,Select Card to Upgrade,Select Card to Upgrade,Select Card to Upgrade,Select Card to Upgrade,Select Card to Upgrade,Select Card to Upgrade,Select Card to Upgrade
remove_cardselect,휴식처 - 제거 선택 제목,Select Card to Remove,Selecionar para Remover,选择移除卡,選擇移除牌,Kaart om te Verwijderen,Elekti Karton,Valitse Poistettava,Choisir à Supprimer,Karte zum Entfernen,Pilih Kartu Hapus,Seleziona da Rimuovere,削除するカードを選んでください,제거할 카드 선택,Select Card to Remove,Select Card to Remove,Select Card to Remove,Select Card to Remove,Select Card to Remove,Select Card to Remove,Select Card to Remove,Select Card to Remove,Select Card to Remove
relic_type_normal,유물 패널 - 일반 유물,Normal Relic,Relíquia Normal,普通遗物,普通遺物,Normaal Relikwie,Normala Relikvo,Normaali Relikki,Relique Normale,Normales Relikt,Relik Normal,Reliquia Normale,通常の遺物,일반 유물,Normal Relic,Normal Relic,Normal Relic,Normal Relic,Normal Relic,Normal Relic,Normal Relic,Normal Relic,Normal Relic
relic_type_boss,유물 패널 - 보스 유물,Boss Relic,Relíquia de Chefe,首领遗物,首領遺物,Baas Relikwie,Estro-Relikvo,Pomorelikkiä,Relique Boss,Bosskampf-Relikt,Relik Bos,Reliquia Boss,ボスの遺物,보스 유물,Boss Relic,Boss Relic,Boss Relic,Boss Relic,Boss Relic,Boss Relic,Boss Relic,Boss Relic,Boss Relic
gameover,게임 오버 화면 제목,Game Over,Fim de Jogo,游戏结束,遊戲結束,Spel Over,Ludo Finita,Peli Ohi,Game Over,Spiel Vorbei,Game Over,Game Over,ゲームオーバー,게임 오버,Game Over,Game Over,Game Over,Game Over,Game Over,Game Over,Game Over,Game Over,Game Over
victory_title,승리 화면 제목,Victory!,Vitória!,胜利！,勝利！,Overwinning!,Venko!,Voitto!,Victoire !,Sieg!,Kemenangan!,Vittoria!,勝利！,승리!,Victory!,Victory!,Victory!,Victory!,Victory!,Victory!,Victory!,Victory!,Victory!
ui_floor,인게임 - 층 표시,Floor {0},Andar {0},第{0}层,第{0}層,Verdieping {0},Etaĝo {0},Kerros {0},Étage {0},Etage {0},Lantai {0},Piano {0},{0}階,층: {0},Floor {0},Floor {0},Floor {0},Floor {0},Floor {0},Floor {0},Floor {0},Floor {0},Floor {0}
playerinfo_gold,인게임 - 골드 표시,Gold,Ouro,金币,金幣,Goud,Oro,Kulta,Or,Gold,Emas,Oro,ゴールド,골드,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold

public_back,공통 - 뒤로가기 버튼,Back,Voltar,返回,返回,Terug,Reen,Takaisin,Retour,Zurück,Kembali,Indietro,戻る,돌아가기,Back,Back,Back,Back,Back,Back,Back,Back,Back
public_settings,공통 - 설정 버튼,Settings,Configurações,设置,設定,Instellingen,Agordoj,Asetukset,Paramètres,Einstellungen,Pengaturan,Impostazioni,設定,설정,Settings,Settings,Settings,Settings,Settings,Settings,Settings,Settings,Settings

card_type_action,카드 타입 - 액션,Action,Ação,行动,行動,Actie,Ago,Toiminta,Action,Aktion,Aksi,Azione,アクション,액션,Akcja,Действие,Акција,Akcija,Acción,แอ็คชั่น,Aksiyon,Дія,Hành động
card_type_move,카드 타입 - 이동,Move,Movimento,移动,移動,Bewegen,Movo,Liike,Déplacement,Bewegung,Gerakan,Movimento,移動,이동,Ruch,Движение,Покрет,Pokret,Movimiento,เคลื่อนที่,Hareket,Рух,Di chuyển
card_type_power어,카드 타입 - 파워,Power,Poder,强力,強力,Kracht,Potenco,Voima,Pouvoir,Kraft,Kekuatan,Potere,パワー,파워,Moc,Сила,Моћ,Moć,Poder,พลัง,Güç,Сила,Sức mạnh
reward_card,인게임 - 골드 표시,Gold,Ouro,金币,金幣,Goud,Oro,Kulta,Or,Gold,Emas,Oro,ゴールド,골드,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold
card_name_21100,전사 액션 카드,Strike,Golpe,打击,打擊,Aanval,Frapi,Isku,Frappe,Schlag,Serangan,Colpo,ストライク,타격,Strike,Strike,Strike,Strike,Strike,Strike,Strike,Strike,Strike
card_name_21101,전사 강화 액션 카드,Strike+,Golpe+,打击+,打擊+,Aanval+,Frapi+,Isku+,Frappe+,Schlag+,Serangan+,Colpo+,ストライク+,타격+,Strike+,Strike+,Strike+,Strike+,Strike+,Strike+,Strike+,Strike+,Strike+
card_name_22100,전사 이동 카드,Move,Mover,移动,移動,Bewegen,Movi,Liiku,Déplacer,Bewegen,Bergerak,Muoviti,移動,이동,Move,Move,Move,Move,Move,Move,Move,Move,Move
card_name_22101,전사 강화 이동 카드,Move+,Mover+,移动+,移動+,Bewegen+,Movi+,Liiku+,Déplacer+,Bewegen+,Bergerak+,Muoviti+,移動+,이동+,Move+,Move+,Move+,Move+,Move+,Move+,Move+,Move+,Move+
card_name_23100,전사 방어 카드,Defend,Defender,防御,防禦,Verdedigen,Defendi,Puolusta,Défendre,Verteidigen,Bertahan,Difendi,ディフェンド,수비,Defend,Defend,Defend,Defend,Defend,Defend,Defend,Defend,Defend
card_name_23101,전사 강화 방어 카드,Defend+,Defender+,防御+,防禦+,Verdedigen+,Defendi+,Puolusta+,Défendre+,Verteidigen+,Bertahan+,Difendi+,ディフェンド+,수비+,Defend+,Defend+,Defend+,Defend+,Defend+,Defend+,Defend+,Defend+,Defend+
card_name_31100,거너 액션 카드,Shoot,Disparar,射击,射擊,Schieten,Pafi,Ammu,Tirer,Schießen,Tembak,Spara,シュート,발사,Shoot,Shoot,Shoot,Shoot,Shoot,Shoot,Shoot,Shoot,Shoot
card_name_31101,거너 강화 액션 카드,Shoot+,Disparar+,射击+,射擊+,Schieten+,Pafi+,Ammu+,Tirer+,Schießen+,Tembak+,Spara+,シュート+,발사+,Shoot+,Shoot+,Shoot+,Shoot+,Shoot+,Shoot+,Shoot+,Shoot+,Shoot+
card_name_31120,거너 강력 공격,Mighty Shot,Tiro Poderoso,强力射击,強力射擊,Machtige Schot,Forta Pafo,Voimakas Laukaus,Tir Puissant,Mächtiger Schuss,Tembakan Kuat,Colpo Potente,強力ショット,강타,Mighty Shot,Mighty Shot,Mighty Shot,Mighty Shot,Mighty Shot,Mighty Shot,Mighty Shot,Mighty Shot,Mighty Shot
card_name_31140,거너 광역 공격,Sweep,Varredura,横扫,橫掃,Vegen,Balai,Pyyhkäisy,Balayer,Fegen,Sapuan,Spazzata,スウィープ,휩쓸기,Sweep,Sweep,Sweep,Sweep,Sweep,Sweep,Sweep,Sweep,Sweep
card_name_31300,거너 수류탄,Grenade,Granada,手榴弹,手榴彈,Granaat,Granato,Kranaatti,Grenade,Granate,Granat,Granata,グレネード,수류탄,Grenade,Grenade,Grenade,Grenade,Grenade,Grenade,Grenade,Grenade,Grenade
card_name_32100,거너 이동 카드,Move,Mover,移动,移動,Bewegen,Movi,Liiku,Déplacer,Bewegen,Bergerak,Muoviti,移動,이동,Move,Move,Move,Move,Move,Move,Move,Move,Move
card_name_32104,거너 돌진 카드,Dash,Arremeter,冲刺,衝刺,Dash,Kuregxon,Viuhti,Foncer,Stürmen,Terjang,Scatta,ダッシュ,돌진,Dash,Dash,Dash,Dash,Dash,Dash,Dash,Dash,Dash
card_name_33100,거너 방어 카드,Defend,Defender,防御,防禦,Verdedigen,Defendi,Puolusta,Défendre,Verteidigen,Bertahan,Difendi,ディフェンド,수비,Defend,Defend,Defend,Defend,Defend,Defend,Defend,Defend,Defend
card_name_33102,거너 드로우 카드,Rapid Fire,Tiro Rápido,速射,速射,Snel Vuur,Rapida Pafado,Nopeatuli,Tir Rapide,Schnellfeuer,Tembak Cepat,Fuoco Rapido,速射,속사,Rapid Fire,Rapid Fire,Rapid Fire,Rapid Fire,Rapid Fire,Rapid Fire,Rapid Fire,Rapid Fire,Rapid Fire
card_name_33103,거너 에너지 회복,Recharge,Recarregar,充能,充能,Opladen,Reŝargi,Lataa,Recharger,Aufladen,Isi Ulang,Ricarica,リチャージ,재충전,Recharge,Recharge,Recharge,Recharge,Recharge,Recharge,Recharge,Recharge,Recharge
card_name_34100,거너 힘 증가 파워,Strength Up,Força,力量提升,力量提升,Kracht,Forto,Vahvista,Force,Stärke,Kekuatan,Forza,筋力アップ,근력 강화,Strength Up,Strength Up,Strength Up,Strength Up,Strength Up,Strength Up,Strength Up,Strength Up,Strength Up
card_name_34140,거너 민첩 증가 파워,Dexterity Up,Destreza,敏捷提升,敏捷提升,Behendigheid,Lerteco,Ketteryys,Dextérité,Geschicklichkeit,Ketangkasan,Destrezza,敏捷アップ,발놀림,Dexterity Up,Dexterity Up,Dexterity Up,Dexterity Up,Dexterity Up,Dexterity Up,Dexterity Up,Dexterity Up,Dexterity Up
card_name_34200,거너 복합 파워,Battle Frenzy,Frenesi,战斗狂热,戰鬥狂熱,Gevechtswaan,Batala Frenezio,Taisteluraivo,Frénésie de Combat,Kampfrausch,Kegilaan Tempur,Frenesia da Battaglia,バトルフレンジー,전투 황홀경,Battle Frenzy,Battle Frenzy,Battle Frenzy,Battle Frenzy,Battle Frenzy,Battle Frenzy,Battle Frenzy,Battle Frenzy,Battle Frenzy
card_name_41100,마법사 액션 카드,Strike,Golpe,打击,打擊,Aanval,Frapi,Isku,Frappe,Schlag,Serangan,Colpo,ストライク,타격,Strike,Strike,Strike,Strike,Strike,Strike,Strike,Strike,Strike
card_name_41101,마법사 강화 공격,Strike+,Golpe+,打击+,打擊+,Aanval+,Frapi+,Isku+,Frappe+,Schlag+,Serangan+,Colpo+,ストライク+,타격+,Strike+,Strike+,Strike+,Strike+,Strike+,Strike+,Strike+,Strike+,Strike+
card_name_42100,마법사 순간이동 카드,Teleport,Teletransporte,瞬间移动,瞬間移動,Teleport,Teleporto,Teleportti,Téléportation,Teleport,Teleportasi,Teletrasporto,瞬間移動,순간이동,Teleport,Teleport,Teleport,Teleport,Teleport,Teleport,Teleport,Teleport,Teleport
card_name_42101,마법사 강화 이동,Move+,Mover+,移动+,移動+,Bewegen+,Movi+,Liiku+,Déplacer+,Bewegen+,Bergerak+,Muoviti+,移動+,이동+,Move+,Move+,Move+,Move+,Move+,Move+,Move+,Move+,Move+
card_name_43100,마법사 방어 카드,Defend,Defender,防御,防禦,Verdedigen,Defendi,Puolusta,Défendre,Verteidigen,Bertahan,Difendi,ディフェンド,수비,Defend,Defend,Defend,Defend,Defend,Defend,Defend,Defend,Defend
card_name_43101,마법사 강화 방어,Defend+,Defender+,防御+,防禦+,Verdedigen+,Defendi+,Puolusta+,Défendre+,Verteidigen+,Bertahan+,Difendi+,ディフェンド+,수비+,Defend+,Defend+,Defend+,Defend+,Defend+,Defend+,Defend+,Defend+,Defend+
card_name_43120,마법사 소환 카드,Summon Ally,Invocar Aliado,召唤盟友,召喚盟友,Bondgenoot Oproepen,Voki Aliancon,Kutsu Liittolainen,Invoquer un Allié,Verbündeten Rufen,Panggil Sekutu,Evoca Alleato,アリー召喚,아군 소환,Summon Ally,Summon Ally,Summon Ally,Summon Ally,Summon Ally,Summon Ally,Summon Ally,Summon Ally,Summon Ally
enemy_name_10100,일반 적,Slime,Gosma,史莱姆,史萊姆,Slijm,Ŝlimo,Limainen,Limon,Schleim,Slime,Melma,スライム,슬라임,Slime,Slime,Slime,Slime,Slime,Slime,Slime,Slime,Slime
enemy_name_10200,일반 적,Skeleton Warrior,Esqueleto,骷髅战士,骷髏戰士,Skelet,Skeleto,Luurankosoturi,Guerrier Squelette,Skelettkrieger,Pejuang Kerangka,Guerriero Scheletro,スケルトン,해골 전사,Skeleton Warrior,Skeleton Warrior,Skeleton Warrior,Skeleton Warrior,Skeleton Warrior,Skeleton Warrior,Skeleton Warrior,Skeleton Warrior,Skeleton Warrior
enemey_name_10300,일반 적,Stone Guardian,Guardião de Pedra,石像守卫,石像守衛,Stenen Bewaker,Ŝtona Gardanto,Kivivartija,Gardien de Pierre,Steinwächter,Penjaga Batu,Guardiano di Pietra,石の守護者,석상 수호자,Stone Guardian,Stone Guardian,Stone Guardian,Stone Guardian,Stone Guardian,Stone Guardian,Stone Guardian,Stone Guardian,Stone Guardian
enemy_name_10400,보스 적,Demon Lord,Lorde Demônio,魔王,魔王,Demonenlord,Demona Sinjoro,Demoniherra,Seigneur Démon,Dämonenfürst,Tuan Iblis,Signore dei Demoni,魔王,악마 군주,Demon Lord,Demon Lord,Demon Lord,Demon Lord,Demon Lord,Demon Lord,Demon Lord,Demon Lord,Demon Lord
relic_name_101,유물,Blood Vial,Frasco de Sangue,血瓶,血瓶,Bloedampul,Sango-Fiolo,Veriampulli,Fiole de Sang,Blutfläschchen,Botol Darah,Fiala di Sangue,血のバイアル,피의 약병,Blood Vial,Blood Vial,Blood Vial,Blood Vial,Blood Vial,Blood Vial,Blood Vial,Blood Vial,Blood Vial
relic_name_102,유물,Ancient Shield,Escudo Antigo,古盾,古盾,Oud Schild,Antikva Ŝildo,Muinainen Kilpi,Bouclier Ancien,Altes Schild,Perisai Kuno,Scudo Antico,古代の盾,고대의 방패,Ancient Shield,Ancient Shield,Ancient Shield,Ancient Shield,Ancient Shield,Ancient Shield,Ancient Shield,Ancient Shield,Ancient Shield
relic_name_103,유물,Burning Heart,Coração Ardente,燃烧之心,燃燒之心,Brandend Hart,Brulanta Koro,Palava Sydän,Cœur Ardent,Brennendes Herz,Jantung Membara,Cuore Ardente,燃える心臓,불타는 심장,Burning Heart,Burning Heart,Burning Heart,Burning Heart,Burning Heart,Burning Heart,Burning Heart,Burning Heart,Burning Heart
relic_name_104,유물,Soul Gem,Gema da Alma,灵魂宝石,靈魂寶石,Zieledelsteeen,Anima-Gemo,Sielukivi,Gemme d'Âme,Seelenedelstein,Batu Jiwa,Gemma dell'Anima,魂の宝石,영혼의 보석,Soul Gem,Soul Gem,Soul Gem,Soul Gem,Soul Gem,Soul Gem,Soul Gem,Soul Gem,Soul Gem
relic_name_105,유물,Dark Crown,Coroa Sombria,暗冠,暗冠,Donkere Kroon,Malluma Krono,Pimeä Kruunu,Couronne Sombre,Dunkle Krone,Mahkota Gelap,Corona Oscura,暗黒の王冠,어둠의 왕관,Dark Crown,Dark Crown,Dark Crown,Dark Crown,Dark Crown,Dark Crown,Dark Crown,Dark Crown,Dark Crown
relic_name_901,보스 유물,Demon Core,Núcleo Demoníaco,魔核,魔核,Demonen Kern,Demona Kerno,Demoniytdin,Cœur Démon,Dämonenkern,Inti Setan,Nucleo Demoniaco,魔核,악마의 핵,Demon Core,Demon Core,Demon Core,Demon Core,Demon Core,Demon Core,Demon Core,Demon Core,Demon Core
keyword_block,키워드 - 방어도,Block,Bloqueio,格挡,格擋,Blokkeren,Bloko,Suojaus,Blocage,Block,Blokir,Blocco,ブロック,방어도,Block,Block,Block,Block,Block,Block,Block,Block,Block
keyword_Strength,키워드 - 힘,Strength,Força,力量,力量,Kracht,Forto,Vahvuus,Force,Stärke,Kekuatan,Forza,筋力,힘,Strength,Strength,Strength,Strength,Strength,Strength,Strength,Strength,Strength
keyword_dexterity,키워드 - 민첩,Dexterity,Destreza,敏捷,敏捷,Behendigheid,Lerteco,Ketteryys,Dextérité,Geschicklichkeit,Ketangkasan,Destrezza,敏捷,민첩,Dexterity,Dexterity,Dexterity,Dexterity,Dexterity,Dexterity,Dexterity,Dexterity,Dexterity
keyword_summon,키워드 - 소환,Summon,Summon,Summon,Summon,Summon,Summon,Summon,Summon,Summon,Summon,Summon,Summon,소환,Summon,Summon,Summon,Summon,Summon,Summon,Summon,Summon,Summon
keyword_upgraded,키워드 - 강화,Upgraded,Melhorado,强化,強化,Verbeterd,Plibonigita,Parannettu,Amélioré,Verbessert,Ditingkatkan,Migliorato,強化済み,강화,Upgraded,Upgraded,Upgraded,Upgraded,Upgraded,Upgraded,Upgraded,Upgraded,Upgraded
setting_title,설정 화면 제목,Settings,Configurações,设置,設定,Instellingen,Agordoj,Asetukset,Paramètres,Einstellungen,Pengaturan,Impostazioni,設定,설정,Settings,Settings,Settings,Settings,Settings,Settings,Settings,Settings,Settings
setting_mastervolume,설정 - 마스터 볼륨,Master Volume,Volume Principal,主音量,主音量,Hoofdvolume,Ĉefa Volumo,Pääänenvoimakkuus,Volume Principal,Hauptlautstärke,Volume Utama,Volume Principale,マスター音量,마스터 볼륨,Master Volume,Master Volume,Master Volume,Master Volume,Master Volume,Master Volume,Master Volume,Master Volume,Master Volume
setting_musicvolume,설정 - 음악 볼륨,Music Volume,Volume da Música,音乐音量,音樂音量,Muziekvolume,Muzika Volumo,Musiikkiäänenvoimakkuus,Volume Musique,Musiklautstärke,Volume Musik,Volume Musica,音楽音量,음악 볼륨,Music Volume,Music Volume,Music Volume,Music Volume,Music Volume,Music Volume,Music Volume,Music Volume,Music Volume
setting_sfxvolume,설정 - 효과음 볼륨,SFX Volume,Volume de Efeitos,音效音量,音效音量,Geluidseffecten,Efekta Volumo,Äänitehoste,Volume Effets,Effektlautstärke,Volume Efek,Volume Effetti,効果音量,효과 볼륨,SFX Volume,SFX Volume,SFX Volume,SFX Volume,SFX Volume,SFX Volume,SFX Volume,SFX Volume,SFX Volume
setting_fullscreen,설정 - 전체화면,Fullscreen,Tela Cheia,全屏,全螢幕,Volledig Scherm,Plena Ekrano,Koko Näyttö,Plein Écran,Vollbild,Layar Penuh,Schermo Intero,全画面,전체화면,Fullscreen,Fullscreen,Fullscreen,Fullscreen,Fullscreen,Fullscreen,Fullscreen,Fullscreen,Fullscreen
setting_vsync,설정 - VSync,VSync,VSync,垂直同步,垂直同步,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync,VSync
setting_language,설정 - 언어 선택,Language,Idioma,语言,語言,Taal,Lingvo,Kieli,Langue,Sprache,Bahasa,Lingua,言語,언어,Language,Language,Language,Language,Language,Language,Language,Language,Language
setting_screenshake,설정 - 화면 흔들림,Screen Shake,Vibração,屏幕震动,螢幕震動,Schudden,Ekranoskuo,Näytön tärinä,Secousse Écran,Bildschirmzittern,Getaran Layar,Scuotimento Schermo,画面揺れ,화면 흔들림,Screen Shake,Screen Shake,Screen Shake,Screen Shake,Screen Shake,Screen Shake,Screen Shake,Screen Shake,Screen Shake
setting_Exhausts,설정 - 화면 흔들림,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,소멸,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts,Exhausts
